0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:00:24 -0800] "GET /Planit.png HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:00:54 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13227
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:00:54 -0800] "GET /Planit.png HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:00:54 -0800] "GET /jquery-2.1.4.min.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:00:54 -0800] "GET /main.js HTTP/1.1" 404 1008
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:00:54 -0800] "GET /Planit.png HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:02:11 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13225
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:02:11 -0800] "GET /Planit/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:02:11 -0800] "GET /Planit.png HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:02:11 -0800] "GET /Planit/jquery-2.1.4.min.js HTTP/1.1" 200 84345
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:02:11 -0800] "GET /Planit/main.js HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:02:11 -0800] "GET /Planit.png HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:02:11 -0800] "GET /Planit/Planit.png HTTP/1.1" 200 34790
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:02:30 -0800] "POST /addOrganization HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:03:09 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13224
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:03:09 -0800] "GET /Planit/style.css HTTP/1.1" 200 3863
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:03:09 -0800] "GET /Planit/main.js HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:03:09 -0800] "GET /Planit/Planit.png HTTP/1.1" 200 34790
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:03:09 -0800] "GET /Planit/jquery-2.1.4.min.js HTTP/1.1" 200 84345
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:03:10 -0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:03:19 -0800] "POST /addOrganization HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:08:08 -0800] "POST /addOrganization HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:09:54 -0800] "GET /addOrganization HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:10:03 -0800] "GET /Planit/addOrganization HTTP/1.1" 405 1108
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:10:09 -0800] "GET /Planit/addOrganization HTTP/1.1" 405 1108
127.0.0.1 - - [21/Nov/2015:19:10:54 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:10:55 -0800] "GET /Planit/index.jsp HTTP/1.1" 200 13231
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:10:55 -0800] "GET /Planit/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:10:55 -0800] "GET /Planit/Planit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:10:55 -0800] "GET /Planit/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2015:19:10:55 -0800] "GET /Planit/main.js HTTP/1.1" 304 -
